No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
1,CH05,1,CH05-001,CH05-001,【67歳の挑戦】亡き夫の「遺言」で始めたマッチングアプリ。「いいね」を押してくれたのは、40年前に別れた初恋の人でした。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/001/content/assembled.md,✅完了,4583,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,済 2025-10-27,,完了 2025-10-27,,,夫の遺言「再婚しろ」→アプリで再会したのは初恋の彼,"An elderly Japanese woman's hand holding a smartphone, displaying a dating app profile of an elderly man. In the background, a framed photo of her late husband is slightly blurred. a mixture of melancholy and new hope. photorealistic, warm lighting.",8200,,,"1. An elderly woman reading a letter with a tear in her eye, a photo of her late husband nearby. --ar 16:9 <br> 2. A close-up of a smartphone screen showing the process of creating a dating app profile. --ar 16:9 <br> 3. The woman's face, a mix of apprehension and curiosity, as she swipes through profiles. --ar 16:9 <br> 4. A profile picture of a kind-looking elderly man, the screen shows a ""match"" notification. --ar 16:9 <br> 5. Flashback: A young couple in 1980s fashion, shyly holding hands. sepia tone. --ar 16:9 <br> 6. The woman's surprised expression as she realizes who the man is. --ar 16:9 <br> 7. A text conversation on the phone, reminiscing about the old days. --ar 16:9 <br> 8. The elderly man and woman meeting for the first time in 40 years at a cafe, looking at each other with nervous smiles. --ar 16:9 <br> 9. They are walking in a park, laughing and catching up. --ar 16:9 <br> 10. The woman looking up at the sky, holding her phone, with a peaceful and thankful smile. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/001/content/assembled.md,✅完了,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her late 60s. Her short, neatly-permed black hair frames a face frozen in profound shock and disbelief, eyes wide and fixed on an unseen smartphone. Her mouth is slightly agape. She wears a simple grey turtleneck sweater. Soft, dramatic lighting highlights the faint wrinkles of concern on her forehead. The background is a blurred image of a modern living room. The left half is a solid black rectangle for text overlay. The The mood is fateful and intensely dramatic. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
2,CH05,2,CH05-002,CH05-002,【シニアの青春】70歳で入った市民大学。「隣の席の元教頭先生、私のこと、生徒みたいに叱るんです」それが恋の始まりだった。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/002/content/assembled.md,✅完了,4507,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,,,,70歳の大学デビュー！隣の席のカタブツ先生に恋しました,"A bright university lecture hall, filled with senior students. An elderly woman is looking at the elderly man next to her, who is diligently taking notes. an academic and heartwarming atmosphere. photorealistic.",8006,,,"1. An elderly woman with a determined look, walking onto a university campus. --ar 16:9 <br> 2. A stern-looking elderly man with glasses, sitting upright in a lecture hall. --ar 16:9 <br> 3. The man pointing out a mistake in the woman's notebook, and her pouting slightly. --ar 16:9 <br> 4. The man sharing his umbrella with the woman on a rainy day after class. --ar 16:9 <br> 5. The two of them studying together in the library, surrounded by books. --ar 16:9 <br> 6. The woman bringing the man a homemade bento box to thank him. --ar 16:9 <br> 7. The man's rare, soft smile as he eats the bento. --ar 16:9 <br> 8. They are discussing a novel passionately during a break. --ar 16:9 <br> 9. The man waiting for the woman after class so they can walk home together. --ar 16:9 <br> 10. A shot of their two empty seats side-by-side in the lecture hall after everyone has left. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/002/content/assembled.md,✅完了,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her 70s, wearing thin, gold-rimmed reading glasses perched on her nose. Her grey hair is tied back in a simple bun. Her expression is deeply conflicted and troubled, lips pressed together in anxiety as she looks slightly downwards, holding a pen loosely. She wears a conservative navy blue blouse. The background is a softly blurred university lecture hall with wooden desks. The left half is a solid black rectangle for text overlay. The mood is intellectual and deeply worrisome. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
3,CH05,3,CH05-003,CH05-003,【隣人トラブル】「毎晩うるさい！」隣室のバイオリンの音に怒鳴り込んだら、出てきたのは元オーケストラの指揮者だった。「君のために弾こう」と言われ…。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/003/content/assembled.md,✅完了,4500,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,,,,騒音トラブルで怒鳴り込み！→「あなたのためだけに弾く」と言われ恋に落ちた,"A luxurious, classic-style living room, with a grand piano and a violin on a stand. The room is lit by a warm floor lamp. elegant, musical, and romantic atmosphere.",怒っている顔文字😠とハートの顔文字😍を矢印で繋ぎ、感情の変化を表現。フォントは、前半を怒っているようなギザギザのフォント、後半を流麗な明朝体にしてギャップを出す。,,,"1. An elderly woman covering her ears in annoyance in her apartment at night. cartoon style. --ar 16:9 <br> 2. The woman marching angrily to her neighbor's door. cartoon style. --ar 16:9 <br> 3. An elegant elderly man with silver hair, holding a violin, opens the door, looking surprised. cartoon style. --ar 16:9 <br> 4. The woman's angry face slowly turning into a blush as she sees him. cartoon style. --ar 16:9 <br> 5. The man inviting her inside his beautifully decorated apartment. cartoon style. --ar 16:9 <br> 6. The man playing a beautiful, sad melody on his violin just for her. cartoon style. --ar 16:9 <br> 7. A tear rolling down the woman's cheek as she listens to the music. cartoon style. --ar 16:9 <br> 8. They are having tea together, surrounded by classical music records. cartoon style. --ar 16:9 <br> 9. The man teaching the woman how to hold the violin. cartoon style. --ar 16:9 <br> 10. The woman listening to his music from her own room, but this time with a happy smile. cartoon style. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/003/content/assembled.md,段1(4文字) 段2(6文字) 段3(7文字) 段4(8文字)<br> 68歳絶望 騒音トラブル 怒鳴り込んだら あの男の罠だった,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her late 60s. Her shoulder-length, dyed-brown hair is slightly disheveled. Her face shows a captivating mix of fear, fascination, and dawning dread, her eyes wide and lips slightly parted in a gasp. Romantic but slightly menacing lighting casts a soft glow on one side of her face. The background is a blurred, dark, luxurious room with a violin case visible. The left half is a solid black rectangle for text overlay. The mood is dramatically dangerous and suspenseful. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
4,CH05,4,CH05-004,CH05-004,【体験談】シルバー人材センターでペアを組んだのは、ライバル会社の元部長。「君のところのやり方は気に食わん！」と喧嘩ばかりだったのに…。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/004/content/assembled.md,✅完了,4725,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,,,,元ライバル社の男とペアに…毎日喧嘩してたのに、なぜか好きになってしまった,"A community center room where senior citizens are doing some light work, like packing boxes. An elderly man and woman are arguing over a task, but there's a hint of a smile on their faces. a humorous and lively atmosphere.",VS.（対決）のロゴのように、男女のイラストを中央に配置し、間にタイトルを入れる。フォントは力強いゴシック体を使用。「好きになってしまった」の部分だけ、弱々しい手書き風フォントにする。,,,"1. An elderly woman and man in work uniforms, glaring at each other. --ar 16:9 <br> 2. Flashback: The two of them in their younger days, in business suits, competing fiercely in a meeting. --ar 16:9 <br> 3. They are arguing about the proper way to tape a box, with exaggerated gestures. --ar 16:9 <br> 4. The man helps the woman when she almost trips, catching her arm. --ar 16:9 <br> 5. They are sharing a bento box during lunch break, sitting a little apart but in a comfortable silence. --ar 16:9 <br> 6. The woman notices the man's hands are calloused and realizes he's a hard worker. --ar 16:9 <br> 7. The man praises the woman's efficiency, looking slightly embarrassed. --ar 16:9 <br> 8. They work together perfectly to complete a difficult task, ending with a high-five. --ar 16:9 <br> 9. They go for a drink at an izakaya after work, laughing about their old rivalries. --ar 16:9 <br> 10. They are walking home together under the streetlights, a new, gentle atmosphere between them. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/004/content/assembled.md,段1(4文字) 段2(6文字) 段3(7文字) 段4(8文字)<br> 66歳屈辱 パワハラ上司 毎日罵倒され もう限界だった,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her mid 60s, wearing a simple work uniform blouse. Her face is a blend of weary resilience and the shock of uncovering a devastating truth. Her eyes are wide with revelation, and her mouth is slightly open in disbelief. A single tear escapes her eye. The background is a blurred workshop or factory setting, hinting at a difficult work environment. The left half is a solid black rectangle for text overlay. The mood is intensely revealing and emotional. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
5,CH05,5,CH05-005,CH05-005,【感動】孫の運動会、一人で応援に来ていた私。隣で同じく一人だった彼が「お孫さん、うちの孫と仲良しなんですよ」と声をかけてきた。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/005/content/assembled.md,✅完了,4674,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,待機中,,完了 2025-10-27,孫の運動会、気づけば「おじいちゃん」の応援に夢中だった私,"A sunny schoolyard during a sports day (undokai). Many families are cheering. In the foreground, an elderly man and woman are sitting next to each other on a bench, smiling as they watch the children. a cheerful and heartwarming scene.",運動会のプログラムのようなデザイン。万国旗や玉入れのイラストを散りばめる。タイトルは元気な手書き風フォントで。「夢中だった」の文字を赤組のハチマキのようにデザインする。,,,"1. An elderly woman sitting alone on a bench at a school sports day, looking a little lonely. --ar 16:9 <br> 2. An elderly man sits down next to her and offers her a can of tea with a friendly smile. --ar 16:9 <br> 3. Two small children, a boy and a girl, running a race together, holding hands. --ar 16:9 <br> 4. The elderly man and woman pointing at the children and laughing, realizing they are the grandparents. --ar 16:9 <br> 5. They are cheering together, waving small flags. --ar 16:9 <br> 6. He shares his lunch with her because she didn't bring any. --ar 16:9 <br> 7. He holds up a large telephoto camera to take pictures of the kids, and shows her the photos. --ar 16:9 <br> 8. Their hands brush as they both reach for a fallen hat. --ar 16:9 <br> 9. At the end of the day, their grandchildren run up to them, hugging them. --ar 16:9 <br> 10. The two elderly people exchange contact information, promising to meet again. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/005/content/assembled.md,段1(4文字) 段2(6文字) 段3(7文字) 段4(8文字)<br> 69歳戦慄 孫の運動会で 隣に座った男 彼の正体は…,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her late 60s, wearing a wide-brimmed sun hat. Her initial bright smile has frozen, morphing into a look of dawning horror and deep anxiety. Her hand is slightly raised to her mouth in a gesture of shock. The background is a softly blurred school sports day with colorful flags and distant running figures. The left half is a solid black rectangle for text overlay. The mood is anxious and deeply protective. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
6,CH05,6,CH05-006,CH05-006,【朗読】深夜ラジオのDJに「40年前に別れた恋人へ」と手紙を送った。数日後、番組で私の手紙が読まれ、彼からのアンサーソングが流れた時、涙が止まらなかった。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/006/content/assembled.md,✅完了,3576,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,,,,40年前の恋人へ…ラジオで届いた「返事」に号泣,"A vintage radio on a table in a dark room at night. The radio is glowing, casting a warm light. A single tear is on the table next to it. a nostalgic, dramatic, and emotional atmosphere.",8215,,,"1. An elderly woman sitting by a window at night, writing a letter by a dim light. --ar 16:9 <br> 2. Flashback: A young couple saying a tearful goodbye at a train station. 1980s Japan. --ar 16:9 <br> 3. The woman listening to an old radio in her quiet room. --ar 16:9 <br> 4. The radio DJ's voice, illustrated as sound waves, reading her letter. --ar 16:9 <br> 5. The woman's eyes widening in shock and surprise as she hears her own words on the radio. --ar 16:9 <br> 6. A close-up of the radio as the DJ announces a special song request. --ar 16:9 <br> 7. Tears streaming down the woman's face as she listens to their ""song"". --ar 16:9 <br> 8. An elderly man, sitting in his own room far away, listening to the same radio program with a nostalgic smile. --ar 16:9 <br> 9. The woman looking through an old photo album, finding a picture of her and her first love. --ar 16:9 <br> 10. The final shot is the glowing radio, playing the song, symbolizing their unbroken connection. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/006/content/assembled.md,✅完了,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her late 60s, her face streaked with tears of pure regret and fear. Her salt-and-pepper hair is tied back simply. Her eyes are wide with dread, fixed on an old-fashioned radio (not in frame). The lighting is dim, like a single lamp in a dark room at night. The background is a blurred vintage radio. The left half is a solid black rectangle for text overlay. The mood is deeply emotional and fearful. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
7,CH05,7,CH05-007,CH05-007,【ミステリー】夫の遺品から出てきた、見知らぬ女性へのラブレター。「嫉妬」の二文字を胸に会いに行ったら、その女性は夫がずっと支援していた孤児だった。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/007/content/assembled.md,未完了,3360,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,待機中,,,夫の遺品から浮気の手紙…憎しみで会いに行ったら涙の結末に,"An elderly woman's hands holding a bundle of old, yellowed letters tied with a ribbon. Her face, out of focus in the background, shows a mixture of grief and suspicion. dramatic lighting, high contrast.",11241,,,"1. An elderly woman opening a dusty wooden box in an attic. --ar 16:9 <br> 2. Her shocked face as she reads a passage from an old letter. --ar 16:9 <br> 3. Flashback: Her husband, a kind-looking man, smiling gently. --ar 16:9 <br> 4. The woman traveling on a train to a rural town, a determined but pained look on her face. --ar 16:9 <br> 5. She arrives at an old orphanage, looking confused. --ar 16:9 <br> 6. A middle-aged woman with a kind smile greets her. --ar 16:9 <br> 7. The middle-aged woman shows her old photos and drawings from her childhood, many of which were sent to the late husband. --ar 16:9 <br> 8. The ""love letters"" are revealed to be letters of gratitude and reports on her life, written like a daughter to a father. --ar 16:9 <br> 9. The elderly widow crying, but this time with tears of pride and love for her husband. --ar 16:9 <br> 10. The two women standing together, holding hands, in front of the husband's photograph. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/007/content/assembled.md,✅完了,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her 70s. Her elegant face, with its fine wrinkles, shows a shattering mix of grief, shock, and profound betrayal. Her trembling hand clutches a yellowed, faded letter tightly. She wears a simple pearl necklace. Dramatic lighting from a nearby window illuminates her face. The background is a blurred, dark room with stacks of old books and a wooden desk. The left half is a solid black rectangle for text overlay. The mood is mysterious and deeply moving. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
8,CH05,8,CH05-008,CH05-008,【豪華客船の恋】72歳、人生初クルーズ。ダンスパーティーで誘われず壁の花だった私に「一曲、いかがです？」と手を差し伸べてくれたのは、船の機関士だった。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/008/content/assembled.md,未完了,4393,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,待機中,,,72歳の壁の花…ダンスに誘ってくれたのは「ワケあり」の機関士様でした,"A luxurious cruise ship ballroom at night. An elegantly dressed elderly woman is standing alone, while other couples dance. A man in a simple but smart uniform is walking towards her, offering his hand. romantic, cinderella-story atmosphere.",10191,,,"1. An elderly woman looking out at the vast ocean from the deck of a cruise ship, a lonely but hopeful expression. --ar 16:9 <br> 2. The glittering ballroom, filled with dancing couples, making the woman feel isolated. --ar 16:9 <br> 3. An elderly male ship's engineer, with weathered hands and a kind face, looking at the woman from across the room. --ar 16:9 <br> 4. His hand, slightly stained with oil but gentle, offered to her. --ar 16:9 <br> 5. They are dancing together, a little awkwardly at first, but then with growing confidence and smiles. --ar 16:9 <br> 6. He gives her a ""backstage"" tour of the engine room, a place no other passenger gets to see. --ar 16:9 <br> 7. They are talking on the deck under the starry night sky. --ar 16:9 <br> 8. They share a secret kiss behind a lifeboat. --ar 16:9 <br> 9. The cruise is coming to an end, and they look at each other with sad but content expressions. --ar 16:9 <br> 10. The woman disembarks, holding a small, greasy metal nut in her hand as a memento from him. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/008/content/assembled.md,✅完了,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of an elegant Japanese woman in her 70s. She wears a simple evening dress with a delicate lace collar and modest pearl earrings. Her face is a mask of shame, regret, and fear, her eyes avoiding the viewer, looking downwards. The background is a blurred, opulent cruise ship corridor at night, dimly lit. The left half is a solid black rectangle for text overlay. The mood is dangerous and deeply regrettable. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
9,CH05,9,CH05-009,CH05-009,【禁断の恋？】息子の嫁の父親と、孫の誕生会で意気投合。「子供たちが結婚したんだ、我々も親戚だな」なんて笑っていたら、いつの間にか二人で会う仲に…。,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/009/content/assembled.md,未完了,3735,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,待機中,,,息子の嫁の「お父さん」を好きになってしまいました,"A cozy living room during a child's birthday party. The focus is on the two grandparents, an elderly man and woman, laughing together on the sofa, slightly apart from the main celebration. a warm but slightly complicated atmosphere.",吹き出しを使って、二人の会話のようにタイトルを配置。「好きになってしまいました」の部分は、女性側の吹き出しにし、困っている顔の絵文字を添える。,,,"1. Two sets of families celebrating a child's birthday. The two grandparents look a bit awkward at first. --ar 16:9 <br> 2. The grandfather and grandmother start talking and find they have a lot in common. --ar 16:9 <br> 3. They are laughing heartily at each other's jokes. --ar 16:9 <br> 4. They secretly exchange phone numbers when no one is looking. --ar 16:9 <br> 5. They are meeting for coffee, looking around nervously to make sure no one they know sees them. --ar 16:9 <br> 6. They are visiting a temple or a garden together, enjoying a quiet date. --ar 16:9 <br> 7. Their children (the married couple) notice they seem to be getting along ""very well"" and look at them with suspicion. --ar 16:9 <br> 8. The grandmother looks conflicted while on the phone with the grandfather. --ar 16:9 <br> 9. He sends her a picture of their grandchild, with the text ""He/She looks like both of us."" --ar 16:9 <br> 10. They are holding hands for the first time, in a place far from home where they won't be recognized. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/009/content/assembled.md,段1(4文字) 段2(6文字) 段3(7文字) 段4(8文字)<br> 64歳禁断 嫁の父親に… 無理やりなんて… 私は悪くない！,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her mid 60s, her hair styled in a soft, permed bob. Her expression is a complex blend of guilt, fear, and a flicker of forbidden, confused thrill. Her eyes are wide and unable to meet the camera, looking slightly away in distress. She wears a simple beige blouse. The background is a blurred, warm living room during a family gathering. The left half is a solid black rectangle for text overlay. The mood is forbidden and emotionally complex. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
10,CH05,10,CH05-010,CH05-010,【オンラインゲーム】68歳、孫に勧められて始めたオンラインゲーム。いつも助けてくれる騎士様は、まさかの73歳のおじいちゃんだった。「オフ会で会いませんか？」,script_validated,,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/010/content/assembled.md,✅完了,3515,2025-10-29 21:44:52,,,,,50〜70代で、家族役割や仕事を一段落させたあとも心が若く、もう一度恋やパートナーシップを楽しみたいと願うシニア。,,,,,,待機中,,,ネットで恋した「騎士様」の正体は…73歳のおじいちゃんでした,"A split screen. On the left, a fantasy online game world with a female avatar and a knight avatar. On the right, an elderly woman with a headset, smiling at her computer screen. a fun, modern, and surprising atmosphere.",ゲームのキャラクター選択画面のようなデザイン。左右に男女のアバターを配置し、中央にタイトルを表示。「おじいちゃんでした」の文字は、ドット絵フォントを使ってゲームっぽさを出す。,,,"1. An elderly woman looking bored and lonely at home. --ar 16:9 <br> 2. Her grandson setting up a computer for her and showing her how to play an online game. --ar 16:9 <br> 3. Her game avatar, a cute magician, looking lost in a digital forest. --ar 16:9 <br> 4. A handsome knight avatar appears and defeats a monster attacking her. --ar 16:9 <br> 5. A chat box on the screen shows their friendly conversation. --ar 16:9 <br> 6. The woman is laughing at her computer, fully immersed in the game. --ar 16:9 <br> 7. The chat box shows the message: ""Would you like to meet in person?"" --ar 16:9 <br> 8. The woman, dressed up and looking nervous, waiting at a cafe. --ar 16:9 <br> 9. An elderly man with a kind smile approaches her and says, ""Are you... avatar name?"" --ar 16:9 <br> 10. They are sitting at the cafe, laughing and talking animatedly, their phones with the game screen on the table. --ar 16:9",,/Users/dd/10_YouTube_Automation/factory_commentary/workspaces/scripts/CH05/010/content/assembled.md,段1(4文字) 段2(6文字) 段3(7文字) 段4(8文字)<br> 68歳恐怖 ネットの罠だった オフ会に行ったら 取り囲まれたの,,"A striking YouTube thumbnail, aspect ratio 16:9. On the right, a highly detailed close-up portrait of a Japanese woman in her late 60s, her face pale with utter terror and the shock of deception. Her neatly styled brown hair is now slightly messy, indicating panic. She is wearing a nice, carefully chosen blouse for a special meeting. Her eyes are wide with fear and disbelief. The background is a blurred, dark, and unfamiliar cafe interior. The left half is a solid black rectangle for text overlay. The mood is modern, dangerous, and cautionary. photorealistic, cinematic quality.",再婚,家族の距離,市民大学,アタッチメント,第二の恋に踏み出す勇気が出る,夕焼けのバス停,大人の恋をもう一度楽しむための小さな勇気を届けます。,"・第二の恋に踏み出すステップ
・家族へ伝える言葉"
