No.,チャンネル,動画番号,動画ID,台本番号,タイトル,進捗,作成フラグ,台本,品質チェック結果,文字数,更新日時,サムネタイトル上,サムネタイトル下,サムネ画像プロンプト（URL・テキスト指示込み）,企画意図,ターゲット層,具体的な内容（話の構成案）,DALL-Eプロンプト（URL・テキスト指示込み）,台本本文（冒頭サンプル）,音声整形,音声検証,音声生成,音声品質,納品,サムネタイトル,AI向け画像生成プロンプト (背景用),テキスト配置・デザイン指示 (人間/ツール向け),サムネ用DALL-Eプロンプト（URL・テキスト指示込み）,内容,動画内挿絵AI向けプロンプト（10個）,内容（企画要約）,台本パス,GPT用プロンプト（日本人シニア女性）,台本本文,GPT用プロンプト（日本人シニア女性）_1,悩みタグ_メイン,悩みタグ_サブ,ライフシーン,キーコンセプト,ベネフィット一言,たとえ話イメージ,説明文_リード,説明文_この動画でわかること
1,CH08,1,CH08-001,CH08-001,【悪用厳禁】反応しない最強の力,topic_research: pending,,workspaces/scripts/CH08/001/content/assembled.md,未着手,7133,2025-12-04 12:00:00,【悪用厳禁】反応しない最強の力,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 【悪用厳禁】反応しない最強の力 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,【悪用厳禁】反応しない最強の力,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,【悪用厳禁】反応しない最強の力 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/001/content/assembled.md,,,,悪用厳禁,,,悪用厳禁,明日ひとつだけ試せる一歩が分かる,,反応しない最強の力で迷うときに。考え方と、今日からできる一歩を整理します。,・反応しない最強の力で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
2,CH08,2,CH08-002,CH08-002,「あなたの子供はカルマ」この言葉の真の意味,topic_research: pending,,workspaces/scripts/CH08/002/content/assembled.md,未着手,6436,2025-12-04 12:00:00,「あなたの子供はカルマ」この言葉の真の意味,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 「あなたの子供はカルマ」この言葉の真の意味 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,「あなたの子供はカルマ」この言葉の真の意味,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,「あなたの子供はカルマ」この言葉の真の意味 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/002/content/assembled.md,,,,,,,「あなたの子供はカルマ」この言葉の真の意味,明日ひとつだけ試せる一歩が分かる,,「あなたの子供はカルマ」この言葉の真の意味で迷うときに。考え方と、今日からできる一歩を整理します。,・「あなたの子供はカルマ」この言葉の真の意味で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
3,CH08,3,CH08-003,CH08-003,子供の誕生日は偶然じゃない 衝撃のメッセージ,topic_research: pending,,workspaces/scripts/CH08/003/content/assembled.md,未着手,6570,2025-12-04 12:00:00,子供の誕生日は偶然じゃない 衝撃のメッセージ,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 子供の誕生日は偶然じゃない 衝撃のメッセージ の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,子供の誕生日は偶然じゃない 衝撃のメッセージ,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,子供の誕生日は偶然じゃない 衝撃のメッセージ をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/003/content/assembled.md,,,,,,,子供の誕生日は偶然じゃない 衝撃のメッセージ,明日ひとつだけ試せる一歩が分かる,,子供の誕生日は偶然じゃない 衝撃のメッセージで迷うときに。考え方と、今日からできる一歩を整理します。,・子供の誕生日は偶然じゃない 衝撃のメッセージで苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
4,CH08,4,CH08-004,CH08-004,霊的に目覚めた人が静かに社会から消える理由,topic_research: pending,,workspaces/scripts/CH08/004/content/assembled.md,未着手,6963,2025-12-04 12:00:00,霊的に目覚めた人が静かに社会から消える理由,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 霊的に目覚めた人が静かに社会から消える理由 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,霊的に目覚めた人が静かに社会から消える理由,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,霊的に目覚めた人が静かに社会から消える理由 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/004/content/assembled.md,,,,,,,霊的に目覚めた人が静かに社会から消える理由,明日ひとつだけ試せる一歩が分かる,,霊的に目覚めた人が静かに社会から消える理由で迷うときに。考え方と、今日からできる一歩を整理します。,・霊的に目覚めた人が静かに社会から消える理由で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
5,CH08,5,CH08-005,CH08-005,再生した瞬間人生が全自動で整う波動固定術,topic_research: pending,,workspaces/scripts/CH08/005/content/assembled.md,未着手,6582,2025-12-04 12:00:00,再生した瞬間人生が全自動で整う波動固定術,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 再生した瞬間人生が全自動で整う波動固定術 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,再生した瞬間人生が全自動で整う波動固定術,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,再生した瞬間人生が全自動で整う波動固定術 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/005/content/assembled.md,,,,,,,再生した瞬間人生が全自動で整う波動固定術,明日ひとつだけ試せる一歩が分かる,,再生した瞬間人生が全自動で整う波動固定術で迷うときに。考え方と、今日からできる一歩を整理します。,・再生した瞬間人生が全自動で整う波動固定術で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
6,CH08,6,CH08-006,CH08-006,宇宙と会話し実際に答えを受け取る5つの方法,topic_research: pending,,workspaces/scripts/CH08/006/content/assembled.md,未着手,9476,2025-12-04 12:00:00,宇宙と会話し実際に答えを受け取る5つの方法,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 宇宙と会話し実際に答えを受け取る5つの方法 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,宇宙と会話し実際に答えを受け取る5つの方法,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,宇宙と会話し実際に答えを受け取る5つの方法 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/006/content/assembled.md,,,,,,,宇宙と会話し実際に答えを受け取る5つの方法,明日ひとつだけ試せる一歩が分かる,,宇宙と会話し実際に答えを受け取る5つの方法で迷うときに。考え方と、今日からできる一歩を整理します。,・宇宙と会話し実際に答えを受け取る5つの方法で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
7,CH08,7,CH08-007,CH08-007,世界のエリートが使うエネルギー操作マニュアル,topic_research: pending,,workspaces/scripts/CH08/007/content/assembled.md,未着手,9488,2025-12-04 12:00:00,世界のエリートが使うエネルギー操作マニュアル,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 世界のエリートが使うエネルギー操作マニュアル の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,世界のエリートが使うエネルギー操作マニュアル,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,世界のエリートが使うエネルギー操作マニュアル をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/007/content/assembled.md,,,,,,,世界のエリートが使うエネルギー操作マニュアル,明日ひとつだけ試せる一歩が分かる,,世界のエリートが使うエネルギー操作マニュアルで迷うときに。考え方と、今日からできる一歩を整理します。,・世界のエリートが使うエネルギー操作マニュアルで苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
8,CH08,8,CH08-008,CH08-008,【嘘だろ？】呼吸一つで現実が激変する秘密,topic_research: pending,,workspaces/scripts/CH08/008/content/assembled.md,未着手,7320,2025-12-04 12:00:00,【嘘だろ？】呼吸一つで現実が激変する秘密,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 【嘘だろ？】呼吸一つで現実が激変する秘密 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,【嘘だろ？】呼吸一つで現実が激変する秘密,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,【嘘だろ？】呼吸一つで現実が激変する秘密 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/008/content/assembled.md,,,,嘘だろ？,,,嘘だろ？,明日ひとつだけ試せる一歩が分かる,,呼吸一つで現実が激変する秘密で迷うときに。考え方と、今日からできる一歩を整理します。,・呼吸一つで現実が激変する秘密で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
9,CH08,9,CH08-009,CH08-009,頭の中の独り言をやめたら人生が根こそぎ変わった,topic_research: pending,,workspaces/scripts/CH08/009/content/assembled.md,未着手,7888,2025-12-04 12:00:00,頭の中の独り言をやめたら人生が根こそぎ変わった,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 頭の中の独り言をやめたら人生が根こそぎ変わった の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,頭の中の独り言をやめたら人生が根こそぎ変わった,済,完了 Δ0.0ms tol=50ms 2025-12-10,完了 2025-12-10,,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,頭の中の独り言をやめたら人生が根こそぎ変わった をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/009/content/assembled.md,,,,,,,頭の中の独り言をやめたら人生が根こそぎ変わった,明日ひとつだけ試せる一歩が分かる,,頭の中の独り言をやめたら人生が根こそぎ変わったで迷うときに。考え方と、今日からできる一歩を整理します。,・頭の中の独り言をやめたら人生が根こそぎ変わったで苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
10,CH08,10,CH08-010,CH08-010,撤退の驚くべき力 あなたを消耗させる人間関係の罠,topic_research: pending,,workspaces/scripts/CH08/010/content/assembled.md,未着手,8147,2025-12-04 12:00:00,撤退の驚くべき力 あなたを消耗させる人間関係の罠,,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",スピリチュアル・オカルト・心理学を横断し、禁断の知識や波動・カルマ・覚醒を実践寄りに解説。強フックと警告で引き込み、使い方とリスクを明確にする。,30〜60代。スピリチュアルやオカルトに惹かれ、人生や人間関係に疲れた女性中心。現実を変えたいが怪しさには慎重な層。,導入: 撤退の驚くべき力 あなたを消耗させる人間関係の罠 の衝撃フックと体験談→本編: 霊性・心理・科学をまたいで原理を分解→実践: 今すぐ試せるステップ/言葉/呼吸法と注意点→締め: 使い方とリスクの警告、日常への落とし込み。,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,,,,,,撤退の驚くべき力 あなたを消耗させる人間関係の罠,dim midnight library,左に黒帯テキスト 右に人物シルエット ゴシック体,"mystic library, glowing energy symbols, dark teal and gold light, cinematic lighting, ethereal atmosphere, 16:9, no text",,図書館/本棚/ノート/窓辺/星空/懐中時計/ランプ/手帳/森の小道/朝の光,撤退の驚くべき力 あなたを消耗させる人間関係の罠 をテーマに、企画意図と構成案に沿ってわかりやすく解説する回。,workspaces/scripts/CH08/010/content/assembled.md,,,,,,,撤退の驚くべき力 あなたを消耗させる人間関係の罠,明日ひとつだけ試せる一歩が分かる,,撤退の驚くべき力 あなたを消耗させる人間関係の罠で迷うときに。考え方と、今日からできる一歩を整理します。,・撤退の驚くべき力 あなたを消耗させる人間関係の罠で苦しくなる理由\n・心を守る考え方\n・今日からできる一歩
